date,vendor,category,subcategory,description,sku_mpn,qty,unit_price_usd,item_total_usd,tax_usd,shipping_usd,order_id,invoice_id,status,notes,source_file
1/6/2026,Namecheap,Summary,,Order total,,1,22.86,22.86,0,0,191349455,,,Summary row,namecheap-order-191349455.pdf
1/13/2026,Namecheap,Infrastructure,Domain,Domain registration: slcjack.com,slcjack.com,1,11.28,11.28,0,0,191968181,,Active,,namecheap-order-191968181.pdf
1/13/2026,Namecheap,Infrastructure,Domain,Domain registration: zknotpower.com,zknotpower.com,1,11.28,11.28,0,0,191968181,,Active,,namecheap-order-191968181.pdf
1/13/2026,Namecheap,Infrastructure,Domain,Domain registration: zknotpower.com,zknotpower.com,1,11.28,11.28,0,0,191968181,,Active,,namecheap-order-191968181.pdf
1/13/2026,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,191968181,,,,namecheap-order-191968181.pdf
1/13/2026,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,191968181,,,,namecheap-order-191968181.pdf
1/13/2026,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,191968181,,,,namecheap-order-191968181.pdf
1/13/2026,Namecheap,Summary,,Order total,,1,22.96,22.96,0,0,191968181,,,Summary row,namecheap-order-191968181.pdf
1/15/2026,USPTO,IP,Filing/Payment,USPTO payment receipt,"63/960,933",1,65,65,0,0,,,Paid,,zkeyN417.PYMT.pdf
1/15/2026,USPTO,IP,Filing/Payment,USPTO payment receipt,"63/961,118",1,65,65,0,0,,,Paid,,PowerVerifyN417.PYMT.pdf
1/15/2026,USPTO,IP,Filing/Payment,USPTO payment receipt,"63/961,116",1,65,65,0,0,,,Paid,,Evidence Protocolreceipt.pdf
2/1/2026,Namecheap,Summary,,Order total,,1,0,0,0,0,193629418,,,Summary row,namecheap-order-193629418.pdf
2/9/2026,USPTO,IP,Filing/Payment,USPTO payment receipt,"63/978,480",1,65,65,0,0,,,Paid,,N417.PYMT.pdf
2/17/2026,Bambu Lab,Hardware,3D Printing,Bambu Lab P1S 3D Printer,PF001-U-US,1,399,399,,,us699789810065895425,BBLUS2674DA48NG15,Delivered,,us699789810065895425.pdf
2/17/2026,Bambu Lab,Hardware,3D Printing,PETG-CF,G50-K0-1,1,34.99,34.99,,,us699789810065895425,BBLUS2674DA48NG15,Delivered,,us699789810065895425.pdf
2/17/2026,Bambu Lab,Hardware,3D Printing,PLA Basic,A00-K0-1,1,19.99,19.99,,,us699789810065895425,BBLUS2674DA48NG15,Delivered,,us699789810065895425.pdf
2/17/2026,Bambu Lab,Shipping,,Shipping,,1,6.99,6.99,0,6.99,us699789810065895425,BBLUS2674DA48NG15,,,us699789810065895425.pdf
2/17/2026,Bambu Lab,Summary,,Grand total (invoice),,1,499.33,499.33,,,us699789810065895425,BBLUS2674DA48NG15,,Summary row,us699789810065895425.pdf
2/18/2026,Namecheap,Infrastructure,Domain,Domain registration: zknotsystems.com,zknotsystems.com,1,10.98,10.98,0,0,195047504,,Active,,namecheap-order-195047504.pdf
2/18/2026,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,195047504,,,,namecheap-order-195047504.pdf
2/18/2026,Namecheap,Summary,,Order total,,1,11.18,11.18,0,0,195047504,,,Summary row,namecheap-order-195047504.pdf
2/25/2026,Amazon,Hardware,Diodes,BOJACK diode assortment (240 pcs),,1,9.99,9.99,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,Diodes,EEEEE diode assortment (200 pcs),,1,9.99,9.99,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,Display,Hosyond 1.3in I2C OLED SH1106 128x64 (5 pcs),,1,17.99,17.99,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,Instrumentation,Innomaker LA1010 USB logic analyzer,,1,69,69,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,PTC,Resettable fuse kit 16V mix (55 pcs),,1,9.99,9.99,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,PTC,Resettable fuse kit 250V mix (45 pcs),,1,9.99,9.99,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,Switch,Ruiwaer KY-004 button modules (5 pcs),,1,7.99,7.99,0,0,,,Ordered,Manual from chat,chat
2/25/2026,Amazon,Hardware,Wiring,Elegoo Dupont jumper kit (120 pcs),,1,6.98,6.98,0,0,,,Ordered,Manual from chat,chat
2/25/2026,DigiKey,Hardware,Crypto,Adafruit STEMMA QT ATECC608 breakout,4314,1,4.95,4.95,0,0,920041699,,Submitted,Manual from chat,chat
2/25/2026,DigiKey,Hardware,Crypto,SparkFun Cryptographic Co-Processor breakout,18077,1,5.05,5.05,0,0,920041699,,Submitted,Manual from chat,chat
2/25/2026,DigiKey,Hardware,Display,Adafruit I2C OLED Display STEMMA QT/Qwiic,4440,1,12.5,12.5,0,0,920041699,,Submitted,Manual from chat,chat
2/25/2026,DigiKey,Hardware,USB Breakout,SparkFun USB Type-A Female Breakout,12700,1,5.25,5.25,0,0,920041699,,Submitted,Manual from chat,chat
2/25/2026,DigiKey,Hardware,USB Breakout,USB 3.1 Type-A Female Receptacle Breakout,BRK-USB-A-3.1V2.0,1,7.65,7.65,0,0,920041699,,Submitted,Manual from chat,chat
2/25/2026,DigiKey,Hardware,USB Breakout,USB 3.1 Type-A Male Plug Breakout,BRK-USB-AP-3.1,1,8.08,8.08,0,0,920041699,,Submitted,Manual from chat,chat
2/25/2026,DigiKey,Hardware,USB Breakout,USB Type-C Male Plug Breakout,BRK-USB-CPV3.0,1,10.44,10.44,0,0,920041699,,Submitted,Manual from chat,chat
,Google Fi,Subscription,Mobile,Google Fi bill,,1,64.18,64.18,,0,,,,,Google Fi-2026-01-04.pdf
,Google Fi,Subscription,Mobile,Google Fi bill,,1,63.88,63.88,,0,,,,,Google Fi-2026-02-04.pdf
,USPTO,IP,Filing/Payment,USPTO payment receipt,,1,20,20,0,0,,,Paid,,Receipt-2277-5093-3924.pdf
,USPTO,IP,Trademark,Trademark filing fee - ZKNOT,99597138,1,,,0,0,99597138,,Filed,Trademark receipt,receipt-99597138.pdf
2/25/2026,JLCPCB,PCB,Assembly,Goldfinger 2B Silkscreen populated PCB (100 qty),SMT026020363188-P6,100,1.8,179.72,15.28,2,W2026020404321026,11481128A2026020404321026,paid,"Payment fee 1.04, Grand total 198.04",chat_image
1/12/2026,JLCPCB,PCB,Bare PCB,PowerVerify RevA Y2 bare PCB (30 qty),PowerVerify-RevA-Y2,30,0.24,7.3,0.65,38.25,W2026011007293759,11481128A2026011007293759,paid,"Import tax 3.29, Grand total 49.99",chat_image
